dE N yerr
8.674557313710268280e-02 7.535063590244249487e-02 2.902398049465430493e-03
1.223755735752110746e-01 9.846411665594688445e-02 3.240985877326063407e-03
1.726402912133908063e-01 9.007656059167566676e-02 3.198712455354122720e-03
2.435508106683288432e-01 9.870065691169394029e-02 3.277301521738273070e-03
3.435872180259579856e-01 1.827290753586565675e-01 4.487612959384820917e-03
4.847127220265441405e-01 2.912646660001401155e-01 5.610588507362759998e-03
6.838043168318083120e-01 3.630069450324849845e-01 6.268998375563011698e-03
9.646710772576130299e-01 6.141702418147240161e-01 8.188936557529653479e-03
1.360901451469274992e+00 7.787535536012999415e-01 9.291969807902408784e-03
1.919880054739728337e+00 8.096625579838098163e-01 9.359166356887566735e-03
2.708454326805190604e+00 9.466027755438805036e-01 1.023668454731656817e-02
3.820928720145611468e+00 8.653084100059856842e-01 9.753398493130973484e-03
5.390342432561785913e+00 6.511219829183434449e-01 8.507220204186092746e-03
7.604379371716941449e+00 4.239390013017448888e-01 6.874485649006493136e-03
1.072781300120701076e+01 2.586036160291362851e-01 5.366652632243873108e-03
1.513417021471953916e+01 1.609455385245436021e-01 4.232478843223795063e-03
2.135040087502772721e+01 1.057440781736943974e-01 3.427185260788993392e-03
3.011989498314441960e+01 6.948725172166439479e-02 2.779490068866575982e-03
4.249138360941761761e+01 5.829314522328622739e-02 2.534484574925488336e-03
5.994435511986615950e+01 5.756478821398998413e-02 2.514729449169827470e-03
