N bins
9.999999999999999547e-07 -1.477479108799886642e+00
1.048516060952897882e-03 3.133869996747559727e-01
2.060876395666040844e-03 2.104253108149398699e+00
3.000925277899673099e-03 3.895119216624041592e+00
4.423050509996707610e-03 5.685985325098684484e+00
5.423358935963264876e-03 7.476851433573327377e+00
6.363407818196895396e-03 9.267717542047970269e+00
7.749377324054172386e-03 1.105858365052261405e+01
8.195297947677825795e-03 1.284944975899725783e+01
9.063035377431957751e-03 1.464031586747189984e+01
9.846409445959977691e-03 1.643118197594654006e+01
1.112391177309796954e-02 1.822204808442118207e+01
1.211216829031796366e-02 2.001291419289582763e+01
1.210011638157137970e-02 2.180378030137046963e+01
1.352224161366838776e-02 2.359464640984511163e+01
1.394405841979889059e-02 2.538551251831975719e+01
1.458280958336789779e-02 2.717637862679439920e+01
1.589646763674566754e-02 2.896724473526904120e+01
1.601698672421151756e-02 3.075811084374368320e+01
1.689677606271219185e-02 3.254897695221832521e+01
1.670394552276689704e-02 3.433984306069297077e+01
1.661958216154073645e-02 3.613070916916760922e+01
1.665573788778049180e-02 3.792157527764225478e+01
1.646290734783519699e-02 3.971244138611690033e+01
1.768015013124021526e-02 4.150330749459153878e+01
1.823453793358312952e-02 4.329417360306618434e+01
1.807786311987759353e-02 4.508503971154082990e+01
1.687267224521902045e-02 4.687590582001546835e+01
1.689677606271219185e-02 4.866677192849011391e+01
1.659547834404763444e-02 5.045763803696475946e+01
1.669189361402024716e-02 5.224850414543939792e+01
1.633033635162275954e-02 5.403937025391404347e+01
1.590851954549222028e-02 5.583023636238868193e+01
1.545054701312198984e-02 5.762110247086332748e+01
1.432971949968964154e-02 5.941196857933797304e+01
1.365481260988082174e-02 6.120283468781261149e+01
1.412483705099763787e-02 6.299370079628725705e+01
1.219653165154403578e-02 6.478456690476190261e+01
1.167829957544087860e-02 6.657543301323654816e+01
1.122032704307064990e-02 6.836629912171119372e+01
1.062978351448806702e-02 7.015716523018583928e+01
9.111243012418271045e-03 7.194803133866047062e+01
8.617114753808286995e-03 7.373889744713511618e+01
7.580650601601975243e-03 7.552976355560976174e+01
6.869587985553459071e-03 7.732062966408440730e+01
5.640293293401787457e-03 7.911149577255905285e+01
4.796659681140874598e-03 8.090236188103369841e+01
3.965077977626470240e-03 8.269322798950832976e+01
3.061184821632593773e-03 8.448409409798297531e+01
1.675215315775317217e-03 8.627496020645762087e+01
6.869587985553458637e-04 8.806582631493226643e+01
9.999999999999999547e-07 8.985669242340691198e+01
