N bins
9.999999999999999547e-07 -3.458498625504545121e+00
3.361684905659788141e-04 1.355739259397042706e-01
8.650027168318267764e-04 3.729646477383953940e+00
1.407124235214907062e-03 7.323719028828203470e+00
1.935958461480755512e-03 1.091779158027245344e+01
2.478079979863836123e-03 1.451186413171670253e+01
3.045447353269657622e-03 1.810593668316095162e+01
3.541063349242425020e-03 2.170000923460520070e+01
4.065911387873102738e-03 2.529408178604944979e+01
4.499077110894873777e-03 2.888815433749369888e+01
5.001336752926261592e-03 3.248222688893795151e+01
5.298972096352267194e-03 3.607629944038220060e+01
5.895571512415999881e-03 3.967037199182644969e+01
6.396502425235660143e-03 4.326444454327069877e+01
6.652947163098245180e-03 4.685851709471494786e+01
6.953239964947696347e-03 5.045258964615919695e+01
7.327941602653648481e-03 5.404666219760344603e+01
7.604317278692081759e-03 5.764073474904769512e+01
7.911253726600118649e-03 6.123480730049194420e+01
8.091960899394524606e-03 6.482887985193620750e+01
8.155739901557209487e-03 6.842295240338044948e+01
8.417499556266720348e-03 7.201702495482470567e+01
8.449389057348042839e-03 7.561109750626894765e+01
8.491908392123220448e-03 7.920517005771320385e+01
8.733737108656816281e-03 8.279924260915744583e+01
8.445402869712907018e-03 8.639331516060170202e+01
8.736394567080262713e-03 8.998738771204594400e+01
8.519811705569408852e-03 9.358146026349020019e+01
8.465333807888723167e-03 9.717553281493444217e+01
8.405540993361210536e-03 1.007696053663786984e+02
8.323159782234336446e-03 1.043636779178229403e+02
8.246093487954421139e-03 1.079577504692671965e+02
8.078673607277261220e-03 1.115518230207114385e+02
7.831529973896739563e-03 1.151458955721556947e+02
7.491375295695621404e-03 1.187399681235999509e+02
7.208355973598543423e-03 1.223340406750441929e+02
6.873516212244315526e-03 1.259281132264884491e+02
6.532032804831442926e-03 1.295221857779326911e+02
6.124112936832408656e-03 1.331162583293769330e+02
5.721507985680267250e-03 1.367103308808211750e+02
5.252466573941921672e-03 1.403044034322654170e+02
4.851190352001545983e-03 1.438984759837096874e+02
4.419353358191492956e-03 1.474925485351539294e+02
3.942339571182849715e-03 1.510866210865981714e+02
3.463997054962456804e-03 1.546806936380424133e+02
2.931176641061465377e-03 1.582747661894866837e+02
2.403671144007339493e-03 1.618688387409309257e+02
1.914698794093187524e-03 1.654629112923751677e+02
1.353975066745969963e-03 1.690569838438194097e+02
8.596877999849356468e-04 1.726510563952636801e+02
2.843480513087731166e-04 1.762451289467079221e+02
9.999999999999999547e-07 1.798392014981521640e+02
