dE N yerr
1.698696169167496439e+00 4.797707155369663190e-01 4.528961236836407875e-03
2.399052834201232720e+00 4.907754169710729086e-01 4.566390088487067532e-03
3.388160052253266219e+00 3.341899280751518542e-01 3.779838992621428837e-03
4.785066996453627652e+00 2.064264310860662310e-01 2.965027967861733754e-03
6.757905709124448990e+00 1.425005652612941209e-01 2.471273216017812538e-03
9.544127513212218972e+00 8.631037216151171698e-02 1.921331965753367114e-03
1.347908270834043520e+01 4.848019416589700176e-02 1.439018640872326803e-03
1.903638341029802916e+01 3.251944773335293387e-02 1.189824371908299212e-03
2.688490761464341006e+01 2.393054093940236160e-02 1.011249924644542662e-03
3.796930550668054849e+01 2.201430040169077493e-02 9.653909353368423730e-04
5.362369777586321362e+01 2.084038042311214811e-02 9.424345796783395327e-04
7.573225068999971654e+01 2.094274800648619067e-02 9.451329867559047455e-04
1.069559547822629781e+02 2.329580125203437740e-02 9.924344995454346865e-04
1.510529022861333601e+02 2.124235454227252351e-02 9.471497752828231774e-04
2.133306119842893906e+02 2.112220308087727969e-02 9.417924864081862963e-04
3.012848433946923024e+02 2.169420902115537161e-02 9.615789089516403425e-04
4.255017881167903511e+02 2.119990226799074381e-02 9.480884517515851756e-04
6.009322262965697519e+02 2.063533833812005239e-02 9.331622560804656106e-04
8.486910059767665189e+02 1.997977672750728129e-02 9.215983780287346529e-04
1.198598431082289608e+03 2.111130867963344204e-02 9.460203625923121855e-04
