dE dNdE yerr
1.895384596622469786e+01 1.946140653498597876e-19 8.882876133325228021e-21
1.922814295900708359e+01 5.001773019809291155e-20 3.283824866025801871e-21
1.950243995178947287e+01 1.398617096149385901e-20 1.266248422277055272e-21
1.977673694457186215e+01 4.937726468786493711e-21 5.486362743096103914e-22
2.005103393735424788e+01 1.231767136532612054e-21 1.998190153904903523e-22
2.032533093013663361e+01 3.792020743399721169e-22 8.084615389281549564e-23
2.059962792291902289e+01 9.165391714861135758e-23 2.898351346659771856e-23
2.087392491570141217e+01 3.411552649518490608e-23 1.289445699318489101e-23
2.114822190848379790e+01 1.036613920350591335e-23 5.183069601752956675e-24
2.142251890126618363e+01 5.512137516120319016e-24 2.756068758060159508e-24
