dE N yerr
1.182170953182222848e+18 2.560928961626803502e+07 2.450453385973932454e+05
1.612861798182287360e+18 4.328675876020559669e+07 4.013025080436419812e+05
2.200462778275374080e+18 9.680084210133749247e+07 7.626606955467470689e+05
3.002139702256204800e+18 1.574172616484554410e+08 1.208865110064577311e+06
4.095885138728337408e+18 2.303930042865328491e+08 1.859278201285016723e+06
5.588106062168811520e+18 3.816589990072146058e+08 2.911392364545020275e+06
7.623975845119278080e+18 5.395912427215597630e+08 4.174857465009505861e+06
1.040155770851697050e+19 6.442877139360432625e+08 5.361994090775805525e+06
1.419107365520727245e+19 5.694267001114790440e+08 6.343037066006169654e+06
1.936119349918322688e+19 5.882371678695501089e+08 8.478997967751046643e+06
2.641490156562362368e+19 5.612733850838218927e+08 1.062987271680208296e+07
3.603843041757836902e+19 5.993982326676027775e+08 1.457617770305826515e+07
4.916802221412994253e+19 6.675632692145706415e+08 1.929502553413560987e+07
6.708101269776722330e+19 6.967151345143816471e+08 2.578658403074185923e+07
9.152009907904761037e+19 8.942071742404290438e+08 3.644516361515343934e+07
1.248628814412262605e+20 1.322272492596923590e+09 5.889869808634845167e+07
1.703531718026197402e+20 2.209177167837044239e+09 1.037961978199678957e+08
2.324165741511649198e+20 1.240550594316787338e+10 5.790394301503027678e+08
3.170910372173842350e+20 1.782103765190822144e+11 8.125693739655194283e+09
4.326142670797670973e+20 1.886666084201748291e+12 8.346119378172097778e+10
