N bins
9.999999999999999547e-07 -3.555670530078268943e+00
1.340307159378523461e-01 2.048200308310100994e-03
2.764581552146009105e-02 3.559766930694889364e+00
1.552601673984577678e-02 7.117485661081468074e+00
9.954605970955541713e-03 1.067520439146804812e+01
9.347295792356137556e-03 1.423292312185462727e+01
6.865245497210719500e-03 1.779064185224120465e+01
6.337149689732971512e-03 2.134836058262778380e+01
5.545005978516349965e-03 2.490607931301436295e+01
5.069719751786372179e-03 2.846379804340094211e+01
3.960718556083111207e-03 3.202151677378752481e+01
4.224766459821985634e-03 3.557923550417410041e+01
3.643861071596454868e-03 3.913695423456067601e+01
3.327003587109806770e-03 4.269467296494725872e+01
3.194979635240376495e-03 4.625239169533384143e+01
3.274194006362038303e-03 4.981011042572041703e+01
2.666883827762622870e-03 5.336782915610699263e+01
3.142170054492595017e-03 5.692554788649357533e+01
2.059573649163213942e-03 6.048326661688015804e+01
2.376431133649871581e-03 6.404098534726674075e+01
1.769120955050452896e-03 6.759870407765330924e+01
2.033168858789326239e-03 7.115642280803989195e+01
1.848335326172122076e-03 7.471414153842647465e+01
1.769120955050452896e-03 7.827186026881304315e+01
1.610692212807128846e-03 8.182957899919962585e+01
1.769120955050452896e-03 8.538729772958620856e+01
1.610692212807128846e-03 8.894501645997279127e+01
1.689906583928797376e-03 9.250273519035937397e+01
1.452263470563804580e-03 9.606045392074594247e+01
1.505073051311579119e-03 9.961817265113252517e+01
1.214620357198823277e-03 1.031758913815191079e+02
1.214620357198818289e-03 1.067336101119056764e+02
1.056191614955494240e-03 1.102913288422922591e+02
1.003382034207719485e-03 1.138490475726788418e+02
9.241676630860573517e-04 1.174067663030654245e+02
7.393341304688489605e-04 1.209644850334520072e+02
8.449532919643920744e-04 1.245222037638385757e+02
4.488814363560868844e-04 1.280799224942251726e+02
4.752862267299742620e-04 1.316376412246117411e+02
5.809053882255194902e-04 1.351953599549983096e+02
6.601197593471865022e-04 1.387530786853849065e+02
6.073101785994116384e-04 1.423107974157714750e+02
4.224766459821960372e-04 1.458685161461580435e+02
3.168574844866495080e-04 1.494262348765446404e+02
1.584287422433247540e-04 1.529839536069312089e+02
2.112383229910980186e-04 1.565416723373177774e+02
3.168574844866495080e-04 1.600993910677043743e+02
2.640479037388725300e-04 1.636571097980909428e+02
1.584287422433247540e-04 1.672148285284775397e+02
1.056191614955498360e-04 1.707725472588641082e+02
1.056191614955490093e-04 1.743302659892506767e+02
9.999999999999999547e-07 1.778879847196372737e+02
