N bins
1.749928043800353716e+00 1.879539263928043269e+01
8.457985545034933939e-01 1.906968963206281842e+01
4.447733777992508020e-01 1.934398662484520770e+01
2.953003573913097202e-01 1.961828361762759698e+01
1.385359701341946637e-01 1.989258061040998271e+01
8.020503534084851005e-02 2.016687760319236844e+01
3.645683424584022364e-02 2.044117459597475772e+01
2.551978397208849031e-02 2.071547158875714700e+01
1.458273369833627993e-02 2.098976858153953273e+01
1.458273369833609258e-02 2.126406557432191846e+01
1.458273369833609258e-02 2.153836256710430774e+01
