dE N yerr
1.696680622664781257e-01 4.241562647297453803e-01 4.293616258924460964e-03
2.396374340089948984e-01 3.899894745870421953e-01 4.106973032691890735e-03
3.384614582809509220e-01 3.712197408326124437e-01 4.043365827039942760e-03
4.780394983588749369e-01 2.973716270036996789e-01 3.595600880795952244e-03
6.751780931036256428e-01 2.463470346076674367e-01 3.275613395270307506e-03
9.536146259295497085e-01 2.046525255413125521e-01 2.999558012927725122e-03
1.346875534137307984e+00 1.526992173166347722e-01 2.587007798247894976e-03
1.902313214511957229e+00 1.247140793697231465e-01 2.331613473260186857e-03
2.686807707458064076e+00 8.643168886273831786e-02 1.954288038665269109e-03
3.794819697295796157e+00 5.594574880273949641e-02 1.573597127155219877e-03
5.359764487428961388e+00 3.714270783689959526e-02 1.282308679225398164e-03
7.570076486420596495e+00 2.813946898196484359e-02 1.107132599212885078e-03
1.069189852365086146e+01 2.082169721528639647e-02 9.563722274275077454e-04
1.510112800644904141e+01 2.244629188479582357e-02 9.891017984632348090e-04
2.132867858432420149e+01 2.327106351263809325e-02 1.006095810276792530e-03
3.012440726011568870e+01 2.160493614541499074e-02 9.681403382532570391e-04
4.254740438726826568e+01 2.297028933898971961e-02 1.001552210071855915e-03
6.009351833755496841e+01 2.055537558855443508e-02 9.441396699785994896e-04
8.487547003611496166e+01 2.124481297779739000e-02 9.597428210591993358e-04
1.198772448866497342e+02 2.021226193033191440e-02 9.363149532702541231e-04
