dE N yerr
1.182353816683139072e+18 3.194696766294189729e+05 8.032049986280883786e+03
1.613194732021156352e+18 4.008527366378293955e+05 1.149051684559187925e+04
2.201030864619971584e+18 4.635850847373667639e+05 1.558324215052756881e+04
3.003070101115494400e+18 5.011757364837535424e+05 2.072106648577114902e+04
4.097366455499886592e+18 9.666246482474324293e+05 4.322876844416163658e+04
5.590416242504511488e+18 1.829580918289229739e+06 8.692601270767695678e+04
7.627522239927517184e+18 2.598527899415525608e+06 1.226321136056788964e+05
1.040693447443988480e+19 7.134120321606482379e+06 3.326300751231489121e+05
1.419914380430755021e+19 1.195113504344219156e+07 5.923957705450684298e+05
1.937320593980745728e+19 2.649198384058429673e+07 1.235195115558477584e+06
2.643265774041475482e+19 5.534286640633835644e+07 2.641370900215505622e+06
3.606452114289808998e+19 1.309246326768435985e+08 6.032688633412087336e+06
4.920616375544748442e+19 3.299019913154150248e+08 1.513694148859712668e+07
6.713652295379830374e+19 6.510643724673405886e+08 3.003136010184318200e+07
9.160057135782900531e+19 1.550821241375710011e+09 7.368174076783271134e+07
1.249791365998345257e+20 2.724065893496502876e+09 1.271485072747706324e+08
1.705206021502082089e+20 7.099704763948592186e+09 3.324741374166605473e+08
2.326570381964711690e+20 1.274152155774337769e+10 6.187829876978224516e+08
3.174355282575919022e+20 3.255992950947838593e+10 1.546968935896255970e+09
4.331066680006626509e+20 8.167092467114820862e+10 3.747319023863766193e+09
