dE N yerr
1.393712032834813952e+18 1.896526095679713786e+07 9.482630478398568928e+06
1.885501122941963008e+18 5.047511627269220352e+07 1.784564849880005419e+07
2.550824274211288064e+18 3.697463597118979692e+07 1.848731798559489846e+07
3.450915196355376128e+18 5.016933166987955570e+07 2.048154388794287294e+07
4.668614695584490496e+18 1.189536439721710920e+09 1.020019081938653290e+08
6.315995014553499648e+18 3.907457754695737362e+09 1.601901501642138064e+08
8.544674518030745600e+18 1.738208396779111481e+10 2.779088777663369179e+08
1.155977204713569485e+19 3.070575911245891571e+10 2.975397780125399232e+08
1.563878524568265523e+19 2.580034771499232864e+10 2.471338487677538097e+08
2.115713034507302502e+19 3.839021357119229126e+10 4.627342475756226778e+08
2.862269398845947904e+19 2.546147164682656860e+10 3.647415976890820265e+08
3.872257710733344768e+19 3.286399082472776413e+10 5.771833511898481846e+08
5.238633297194002022e+19 4.356559535998838043e+10 8.580294550883219242e+08
7.087151959540516454e+19 5.687593629934683228e+10 1.282734579318864822e+09
9.587944039626278502e+19 7.996153548696530151e+10 1.982991508901303291e+09
1.297117254318970634e+20 1.297046015099163055e+11 3.363565579075056553e+09
1.754821643199293030e+20 1.807003089006529236e+11 5.070572941022486687e+09
2.374032871112683356e+20 2.051939037739817200e+11 6.674958188720767975e+09
3.211740688841876439e+20 6.076184846292709961e+11 2.354473803175013351e+10
4.345044408558602813e+20 1.800810962895264893e+12 8.585029417119837952e+10
