dE N yerr
1.182211681822258176e+18 6.042595864094067365e+07 6.443992295723438729e+05
1.613031110484069888e+18 6.295536926948310435e+07 7.631094000783561496e+05
2.200848970954976256e+18 6.144065514597300440e+07 8.677747030891370960e+05
3.002878345911121408e+18 4.967973520839942992e+07 8.947310521338286344e+05
4.097181805450826240e+18 4.123832522124963999e+07 9.433452690989237744e+05
5.590269339340758016e+18 2.977253248211748898e+07 8.730234722766340710e+05
7.627465113897926656e+18 2.805421366486189887e+07 9.639541894116171170e+05
1.040705206353985946e+19 3.066987319036588073e+07 1.239756144001743291e+06
1.419957102863503155e+19 3.236008588888466731e+07 1.532294477206945885e+06
1.937415285003092787e+19 5.296382480670733750e+07 2.422508960027466994e+06
2.643444635752792064e+19 9.709218918441152573e+07 4.597448405361244455e+06
3.606763917049973146e+19 1.551503557873692811e+08 7.156552257531654090e+06
4.921134256942383923e+19 2.914688513183369637e+08 1.337350808512118459e+07
6.714485043052059034e+19 5.283192805451396704e+08 2.431786599080795422e+07
9.161365457519886336e+19 9.764137575532724857e+08 4.597752815462236851e+07
1.249993357764450877e+20 1.700468541491890907e+09 7.885734037063534558e+07
1.705513661364450099e+20 3.113410242340411663e+09 1.475898000275008976e+08
2.327033844646155715e+20 4.993289205410109520e+09 2.377756764481004477e+08
3.175047281530705019e+20 8.215983769081288147e+10 3.730686050995749950e+09
4.332092231124550287e+20 1.029803135729238586e+11 4.551129878508219719e+09
