dE N yerr
8.479768313379849876e-02 2.682798015766017508e-01 6.820917859687052574e-03
1.197676260154932754e-01 1.730377811681666489e-01 5.474673118767886364e-03
1.691589169807134474e-01 1.282721494286440944e-01 4.715377993367049839e-03
2.389188142577550189e-01 1.015341963458688546e-01 4.169509704556840883e-03
3.374471817695535725e-01 8.520393446741061916e-02 3.821918795201737894e-03
4.766079257423656013e-01 8.671818711057194262e-02 3.843716065735916770e-03
6.731575403571363747e-01 8.763211593901044927e-02 3.884225248847979813e-03
9.507627751549795336e-01 9.348428805459645108e-02 4.008105783604507324e-03
1.342850373689370436e+00 8.931088563112096756e-02 3.924095029384887592e-03
1.896632023507380582e+00 7.846777584447181542e-02 3.666558375197353972e-03
2.678789165996696919e+00 8.588679736185027280e-02 3.856431045071883300e-03
3.783502180138821558e+00 8.755329529523747656e-02 3.869345551155666408e-03
5.343790742781012071e+00 8.829236322991322605e-02 3.898203065991999016e-03
7.547530870349403287e+00 8.277997723713462208e-02 3.766619385743817227e-03
1.066007727114543613e+01 8.249373718564022295e-02 3.749715326620009937e-03
1.505621498988726259e+01 7.877688981759442544e-02 3.676990329774879919e-03
2.126528767622598082e+01 8.693669160151409891e-02 3.860994022968434417e-03
3.003493642036756484e+01 8.417270286978938143e-02 3.806421199562420778e-03
4.242112401724254056e+01 8.376292880921994144e-02 3.784023407481008211e-03
5.991528457726126788e+01 8.849740321350141325e-02 3.892111343092226686e-03
