dE N yerr
8.479768313379849876e-02 2.130369505689241050e-01 4.203948888473186402e-03
1.197676260154932754e-01 1.777192402651768532e-01 3.866203409399788290e-03
1.691589169807134474e-01 1.634973738160291623e-01 3.697748761778850337e-03
2.389188142577550189e-01 1.470359620640945830e-01 3.490975169280523521e-03
3.374471817695535725e-01 1.344871712525363139e-01 3.341360633581408075e-03
4.766079257423656013e-01 1.204727382053578794e-01 3.161589446948849264e-03
6.731575403571363747e-01 1.233705721491273888e-01 3.224341555225838322e-03
9.507627751549795336e-01 1.018920031603740006e-01 2.918355857151312682e-03
1.342850373689370436e+00 8.166327598472881977e-02 2.627472835955343630e-03
1.896632023507380582e+00 5.748178481370428555e-02 2.193066879231380436e-03
2.678789165996696919e+00 5.271616145902231071e-02 2.108646458360892255e-03
3.783502180138821558e+00 4.829999026413686614e-02 2.005547934208107459e-03
5.343790742781012071e+00 4.531525113731019877e-02 1.948254816784218127e-03
7.547530870349403287e+00 4.063026255666181419e-02 1.839245566235391677e-03
1.066007727114543613e+01 4.032421091601887803e-02 1.827264416678409543e-03
1.505621498988726259e+01 3.825786669081075037e-02 1.785724292818029191e-03
2.126528767622598082e+01 4.222066097725027389e-02 1.875085383121490338e-03
3.003493642036756484e+01 4.087833440561137316e-02 1.848582181387546132e-03
4.242112401724254056e+01 4.067932830853242948e-02 1.837704730581817816e-03
5.991528457726126788e+01 4.297861799906804725e-02 1.890197458348474337e-03
