dE N yerr
1.393712032834813952e+18 3.513868268247479573e+06 1.756934134123739786e+06
1.885501122941963008e+18 1.145501207343713753e+07 4.049958357850586995e+06
2.550824274211288064e+18 9.704707274251356721e+06 4.852353637125678360e+06
3.450915196355376128e+18 1.572484093084433302e+07 6.419639427833379246e+06
4.668614695584490496e+18 4.417494380063734651e+08 3.787970180279573053e+07
6.315995014553499648e+18 2.008573061581503153e+09 8.234346742811802030e+07
8.544674518030745600e+18 1.387013523880852890e+10 2.217590092089770734e+08
1.155977204713569485e+19 3.720569650070842743e+10 3.605243771071915030e+08
1.563878524568265523e+19 4.371739365834535980e+10 4.187558970999352932e+08
2.115713034507302502e+19 5.925059611214675903e+10 7.141736776097295284e+08
2.862269398845947904e+19 5.759670744050935364e+10 8.250864437405910492e+08
3.872257710733344768e+19 7.704465851509577942e+10 1.353119115392426491e+09
5.238633297194002022e+19 1.134676200310372162e+11 2.234757941006262779e+09
7.087151959540516454e+19 1.621084110319548340e+11 3.656064022132190228e+09
9.587944039626278502e+19 2.503329698606432495e+11 6.208086808345770836e+09
1.297117254318970634e+20 4.444095063119185791e+11 1.152465295019025612e+10
1.754821643199293030e+20 6.946157316090465088e+11 1.949138744993392563e+10
2.374032871112683356e+20 8.820156039479531250e+11 2.869196974115172958e+10
3.211740688841876439e+20 3.232226091951747070e+12 1.252462170251844940e+11
4.345044408558602813e+20 1.028148974470649609e+13 4.901507916644930420e+11
