N bins
1.769999999999999929e+01 -3.593993602104415430e+00
2.720000000000000000e+02 2.687204233929227880e-04
5.990000000000000000e+02 3.594531042951201627e+00
9.210000000000000000e+02 7.188793365479010156e+00
1.296000000000000000e+03 1.078305568800681868e+01
1.569000000000000000e+03 1.437731801053462632e+01
1.859000000000000000e+03 1.797158033306243397e+01
2.096000000000000000e+03 2.156584265559024516e+01
2.422000000000000000e+03 2.516010497811805280e+01
2.604000000000000000e+03 2.875436730064586044e+01
2.908000000000000000e+03 3.234862962317367163e+01
3.086000000000000000e+03 3.594289194570147572e+01
3.375000000000000000e+03 3.953715426822928691e+01
3.519000000000000000e+03 4.313141659075709811e+01
3.766000000000000000e+03 4.672567891328490219e+01
3.931000000000000000e+03 5.031994123581271339e+01
4.126000000000000000e+03 5.391420355834051747e+01
4.289000000000000000e+03 5.750846588086832867e+01
4.422000000000000000e+03 6.110272820339613986e+01
4.403000000000000000e+03 6.469699052592395105e+01
4.566000000000000000e+03 6.829125284845174804e+01
4.735000000000000000e+03 7.188551517097955923e+01
4.672000000000000000e+03 7.547977749350737042e+01
4.725000000000000000e+03 7.907403981603518162e+01
4.861000000000000000e+03 8.266830213856299281e+01
4.926000000000000000e+03 8.626256446109080400e+01
4.971000000000000000e+03 8.985682678361860098e+01
4.799000000000000000e+03 9.345108910614641218e+01
4.734000000000000000e+03 9.704535142867422337e+01
4.651000000000000000e+03 1.006396137512020346e+02
4.684000000000000000e+03 1.042338760737298458e+02
4.566000000000000000e+03 1.078281383962576427e+02
4.455000000000000000e+03 1.114224007187854539e+02
4.386000000000000000e+03 1.150166630413132651e+02
4.080000000000000000e+03 1.186109253638410763e+02
3.897000000000000000e+03 1.222051876863688875e+02
3.841000000000000000e+03 1.257994500088966845e+02
3.552000000000000000e+03 1.293937123314245241e+02
3.399000000000000000e+03 1.329879746539523353e+02
3.165000000000000000e+03 1.365822369764801181e+02
2.901000000000000000e+03 1.401764992990079293e+02
2.687000000000000000e+03 1.437707616215357405e+02
2.392000000000000000e+03 1.473650239440635517e+02
2.223000000000000000e+03 1.509592862665913628e+02
1.867000000000000000e+03 1.545535485891191740e+02
1.579000000000000000e+03 1.581478109116469852e+02
1.373000000000000000e+03 1.617420732341747964e+02
1.089000000000000000e+03 1.653363355567026076e+02
7.560000000000000000e+02 1.689305978792304188e+02
4.710000000000000000e+02 1.725248602017582300e+02
1.770000000000000000e+02 1.761191225242860128e+02
1.769999999999999929e+01 1.797133848468138240e+02
