dE N yerr
1.696680622664781257e-01 3.809759690342313654e-01 9.138453289695518816e-03
2.396374340089948984e-01 3.942316460064732020e-01 9.318048525913027319e-03
3.384614582809509220e-01 3.452859378853283534e-01 8.700387836688326659e-03
4.780394983588749369e-01 3.193096602445275045e-01 8.379705377137541128e-03
6.751780931036256428e-01 2.913221932606664399e-01 7.991183078078160917e-03
9.536146259295497085e-01 2.466353110822996353e-01 7.396101483327220671e-03
1.346875534137307984e+00 2.008597350710807639e-01 6.676803513908602557e-03
1.902313214511957229e+00 1.822055216952538081e-01 6.343582023778966163e-03
2.686807707458064076e+00 1.490742529565394492e-01 5.733625113713055471e-03
3.794819697295796157e+00 1.227458321979633671e-01 5.219683729059792707e-03
5.359764487428961388e+00 1.082100646159096929e-01 4.888432427718115113e-03
7.570076486420596495e+00 1.104281328913711696e-01 4.909129297767805995e-03
1.069189852365086146e+01 9.982812818437308833e-02 4.700722965765714856e-03
1.510112800644904141e+01 1.114308668258512797e-01 4.948818535226044701e-03
2.132867858432420149e+01 1.174407253931246536e-01 5.077405323986216440e-03
3.012440726011568870e+01 1.090323771241359097e-01 4.885857646560058491e-03
4.254740438726826568e+01 1.159228258302791720e-01 5.054475400578361394e-03
6.009351833755496841e+01 1.037356207866021868e-01 4.764734867166465875e-03
8.487547003611496166e+01 1.072149644385097106e-01 4.843478383994949572e-03
1.198772448866497342e+02 1.020040490046740383e-01 4.725246323562744093e-03
