N bins
1.000000000000000048e-04 -7.043004987140303319e-01
5.248227922821203428e+00 -6.195752826432550098e-01
4.131235406349677564e-01 -5.348500665724796876e-01
2.190334243743884135e-01 -4.501248505017043655e-01
2.767148243875727776e-01 -3.653996344309289879e-01
2.400793405954152193e-01 -2.806744183601536657e-01
3.250424838580781572e-01 -1.959492022893783436e-01
3.117913514226172134e-01 -1.112239862186029660e-01
3.227040487224087650e-01 -2.649877014782764384e-02
2.829506514160251007e-01 5.822644592294767829e-02
3.078939595298344489e-01 1.429516619937230004e-01
2.821711730374685256e-01 2.276768780644983226e-01
2.494330811380933988e-01 3.124020941352736447e-01
2.884070000659212929e-01 3.971273102060490778e-01
2.346229919455191104e-01 4.818525262768242889e-01
2.205923811315019523e-01 5.665777423475997221e-01
1.979875081533616632e-01 6.513029584183749332e-01
2.315050784312929488e-01 7.360281744891503664e-01
1.933106378820228788e-01 8.207533905599257995e-01
2.011054216675878248e-01 9.054786066307010106e-01
2.276076865385108228e-01 9.902038227014764438e-01
1.808389838251177328e-01 1.074929038772251655e+00
1.301728892189428499e-01 1.159654254843027088e+00
1.847363757179004140e-01 1.244379470913802299e+00
1.496598486828560337e-01 1.329104686984577732e+00
1.371881946259517482e-01 1.413829903055353165e+00
9.821427569812453406e-02 1.498555119126128377e+00
1.145833216478113481e-01 1.583280335196903588e+00
5.768140001318425303e-02 1.668005551267679243e+00
6.391722704163660396e-02 1.752730767338454454e+00
3.819444054927065291e-02 1.837455983409229665e+00
3.507652703504438030e-02 1.922181199480004876e+00
2.494330811380940371e-02 2.006906415550780309e+00
4.209183244205337571e-02 2.091631631621555520e+00
2.416382973525261005e-02 2.176356847692330732e+00
3.585600541360102478e-02 2.261082063763106831e+00
4.131235406349682837e-02 2.345807279833882042e+00
3.039965676370521425e-02 2.430532495904657253e+00
1.325113243546124746e-02 2.515257711975432464e+00
1.325113243546124746e-02 2.599982928046207675e+00
1.013321892123507199e-02 2.684708144116982886e+00
6.235827028452285876e-03 2.769433360187758097e+00
1.091269729979161413e-02 2.854158576258534197e+00
1.636904594968742119e-02 2.938883792329309408e+00
3.117913514226175464e-03 3.023609008400084619e+00
5.456348649895807063e-03 3.108334224470859830e+00
9.353740542678526393e-03 3.193059440541635041e+00
3.897391892782719764e-03 3.277784656612410252e+00
2.338435135669607312e-02 3.362509872683185463e+00
5.456348649895807063e-03 3.447235088753961563e+00
1.870748108535705279e-02 3.531960304824736774e+00
1.000000000000000048e-04 3.616685520895511985e+00
