dE N yerr
1.183307149917165056e+18 4.150547431103170384e+05 4.685175720439188808e+03
1.614446620006416896e+18 5.423676493044828530e+05 6.746471642594668083e+03
2.202672306199284480e+18 8.332043968071428826e+05 1.035136358276777355e+04
3.005218771790664704e+18 1.205377685889318818e+06 1.609460888954813163e+04
4.100174066248913408e+18 1.412259333651282825e+06 2.189878367611286012e+04
5.594077719514253312e+18 1.686764836724887369e+06 2.950621583795091283e+04
7.632287075215604736e+18 2.247071059885151219e+06 4.270269933175072947e+04
1.041312061062342656e+19 2.617818197118356824e+06 5.707114878261101694e+04
1.420715439327565824e+19 3.110138701808212791e+06 7.925367271790093218e+04
1.938354922619950694e+19 3.183487086125667207e+06 1.038338998241437075e+05
2.644597012209082368e+19 4.183951313379598316e+06 1.549611597547999409e+05
3.608159308374739354e+19 5.036551303062186576e+06 2.196040726470048248e+05
4.922796756749124403e+19 9.418182257391557097e+06 4.285421312395065324e+05
6.716424037046113894e+19 1.760583435113149136e+07 8.327273902583823074e+05
9.163561705765080269e+19 3.698118581304778159e+07 1.711285192773150513e+06
1.250231710687145165e+20 7.410274828477159142e+07 3.429066242618534248e+06
1.705755229895296942e+20 1.569794059962111712e+08 7.466748901358278468e+06
2.327249324619992924e+20 3.332351097267380357e+08 1.574387907950481959e+07
3.175185585845552415e+20 1.040169815254847646e+09 4.881758828905520588e+07
4.332068505899160699e+20 4.465932367390455246e+09 2.079992069383852482e+08
