dE N yerr
8.479768313379849876e-02 1.982924562030452531e-01 1.872016894621033939e-03
1.197676260154932754e-01 1.900123240435789840e-01 1.850984034209549435e-03
1.691589169807134474e-01 1.766328616742383617e-01 1.781627212919271227e-03
2.389188142577550189e-01 1.682712634773652072e-01 1.725518807130534821e-03
3.374471817695535725e-01 1.327817999595550524e-01 1.542307058665107634e-03
4.766079257423656013e-01 1.211931399359112149e-01 1.469790774048191544e-03
6.731575403571363747e-01 1.016196464941436645e-01 1.352646076848038233e-03
9.507627751549795336e-01 9.172426262022205512e-02 1.285152776389581657e-03
1.342850373689370436e+00 6.628758881722847385e-02 1.092570105422387789e-03
1.896632023507380582e+00 4.595874303902162256e-02 9.079848026938754785e-04
2.678789165996696919e+00 3.378107703636107351e-02 7.826490538281926160e-04
3.783502180138821558e+00 2.553596827025786040e-02 6.755168953675054272e-04
5.343790742781012071e+00 1.656603688957242193e-02 5.473572656227317611e-04
7.547530870349403287e+00 1.125280226186299234e-02 4.490356949350223685e-04
1.066007727114543613e+01 9.094809724608439797e-03 4.015456587197899284e-04
1.505621498988726259e+01 8.335892330681497070e-03 3.857390940939885832e-04
2.126528767622598082e+01 9.053403149292385543e-03 4.016798108446471773e-04
3.003493642036756484e+01 8.748269525475829006e-03 3.956104229273682180e-04
4.242112401724254056e+01 8.705680731197045982e-03 3.932825670403248576e-04
5.991528457726126788e+01 9.197745934499266390e-03 4.045164036754862139e-04
