dE N yerr
1.196287200236740864e+18 1.325971685688372329e+07 4.059308336759979138e+05
1.631182102832611584e+18 3.763140139391229302e+07 7.632343577498006634e+05
2.224177481857926912e+18 9.209515298208206892e+07 1.374860829538830323e+06
3.032748742285281280e+18 1.780175798091651797e+08 2.223309910940483212e+06
4.135265737044484096e+18 2.983408719713161588e+08 3.267441749958720990e+06
5.638588676188309504e+18 6.693078855780277252e+08 5.192334945094474591e+06
7.688425431629489152e+18 1.193207623929624796e+09 6.852763522388996556e+06
1.048345410747124326e+19 1.092524530312203407e+09 5.775946568357472308e+06
1.429457969005269811e+19 8.449158332600102425e+08 5.078074035359457135e+06
1.949119120668863693e+19 7.402735248776527643e+08 5.668808961416487582e+06
2.657696433845248410e+19 6.816623650503656864e+08 6.672390806383484975e+06
3.623867961466533478e+19 7.148749250635120869e+08 8.104241167736819945e+06
4.941278783725943194e+19 7.229297342595444918e+08 1.024222297201077826e+07
6.737617451332075520e+19 7.924252256994602680e+08 1.340017518446001969e+07
9.186992053555896320e+19 9.252111831678962708e+08 1.786201859627177939e+07
1.252680544743792640e+20 9.519103722489722967e+08 2.248676888744375855e+07
1.708076526061893386e+20 1.091780929543622494e+09 2.909605953526181728e+07
2.329025888623809659e+20 1.164823421282258511e+09 3.690884248227287829e+07
3.175713445571562045e+20 1.837898119819563389e+09 7.175786583505432308e+07
4.330203428671718687e+20 4.819476572867524147e+09 2.146765490387348831e+08
